Alpha,4.0,2.0,2.0,1.0,1.0,0.5,0.5,0.25,0.25,0.125,0.125
Chain,19.73125,10.203125,10.021875,4.69375,4.7,2.39375,2.30625,1.2375,1.265625,0.65,0.5875
Open Addressing, 7.778125, 15.26875, 15.228125, 28.759375, 28.765625, 51.9875, 50.94375, 80.871875, 79.71875, 55.7625, 55.109375
