Alpha,4.0,2.0,2.0,1.0,1.0,0.5,0.5,0.25,0.25,0.125,0.125
Chain,19.728125,9.884375,9.91875,4.878125,4.7875,2.31875,2.4875,1.178125,1.265625,1.0125,0.546875
Open Addressing, 7.771875, 15.153125, 15.253125, 28.875, 28.503125, 51.68125, 52.065625, 79.78125, 78.790625, 55.03125, 55.209375
