Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
N_operations_naive,1,7,16,28,43,61,82,106,133,163,196,232,271,313,358,406
N_operations_karatsuba,1,15,63,69,219,225,249,255,711,717,741,747,825,831,855,861
